# Format is: alabel, type

ac, ccTLD
ad, ccTLD
ae, ccTLD
af, ccTLD
ag, ccTLD
ai, ccTLD
al, ccTLD
am, ccTLD
an, ccTLD
ao, ccTLD
aq, ccTLD
ar, ccTLD
as, ccTLD
at, ccTLD
au, ccTLD
aw, ccTLD
ax, ccTLD
az, ccTLD
ba, ccTLD
bb, ccTLD
bd, ccTLD
be, ccTLD
bf, ccTLD
bg, ccTLD
bh, ccTLD
bi, ccTLD
bj, ccTLD
bm, ccTLD
bn, ccTLD
bo, ccTLD
br, ccTLD
bs, ccTLD
bt, ccTLD
bv, ccTLD
bw, ccTLD
by, ccTLD
bz, ccTLD
ca, ccTLD
cc, ccTLD
cd, ccTLD
cf, ccTLD
cg, ccTLD
ch, ccTLD
ci, ccTLD
ck, ccTLD
cl, ccTLD
cm, ccTLD
cn, ccTLD
co, ccTLD
cr, ccTLD
cu, ccTLD
cv, ccTLD
cw, ccTLD
cx, ccTLD
cy, ccTLD
cz, ccTLD
de, ccTLD
dj, ccTLD
dk, ccTLD
dm, ccTLD
do, ccTLD
dz, ccTLD
ec, ccTLD
ee, ccTLD
eg, ccTLD
er, ccTLD
es, ccTLD
et, ccTLD
eu, ccTLD
fi, ccTLD
fj, ccTLD
fk, ccTLD
fm, ccTLD
fo, ccTLD
fr, ccTLD
ga, ccTLD
gb, ccTLD
gd, ccTLD
ge, ccTLD
gf, ccTLD
gg, ccTLD
gh, ccTLD
gi, ccTLD
gl, ccTLD
gm, ccTLD
gn, ccTLD
gp, ccTLD
gq, ccTLD
gr, ccTLD
gs, ccTLD
gt, ccTLD
gu, ccTLD
gw, ccTLD
gy, ccTLD
hk, ccTLD
hm, ccTLD
hn, ccTLD
hr, ccTLD
ht, ccTLD
hu, ccTLD
id, ccTLD
ie, ccTLD
il, ccTLD
im, ccTLD
in, ccTLD
io, ccTLD
iq, ccTLD
ir, ccTLD
is, ccTLD
it, ccTLD
je, ccTLD
jm, ccTLD
jo, ccTLD
jp, ccTLD
ke, ccTLD
kg, ccTLD
kh, ccTLD
ki, ccTLD
km, ccTLD
kn, ccTLD
kp, ccTLD
kr, ccTLD
kw, ccTLD
ky, ccTLD
kz, ccTLD
la, ccTLD
lb, ccTLD
lc, ccTLD
li, ccTLD
lk, ccTLD
lr, ccTLD
ls, ccTLD
lt, ccTLD
lu, ccTLD
lv, ccTLD
ly, ccTLD
ma, ccTLD
mc, ccTLD
md, ccTLD
me, ccTLD
mg, ccTLD
mh, ccTLD
mk, ccTLD
ml, ccTLD
mm, ccTLD
mn, ccTLD
mo, ccTLD
mp, ccTLD
mq, ccTLD
mr, ccTLD
ms, ccTLD
mt, ccTLD
mu, ccTLD
mv, ccTLD
mw, ccTLD
mx, ccTLD
my, ccTLD
mz, ccTLD
na, ccTLD
nc, ccTLD
ne, ccTLD
nf, ccTLD
ng, ccTLD
ni, ccTLD
nl, ccTLD
no, ccTLD
np, ccTLD
nr, ccTLD
nu, ccTLD
nz, ccTLD
om, ccTLD
pa, ccTLD
pe, ccTLD
pf, ccTLD
pg, ccTLD
ph, ccTLD
pk, ccTLD
pl, ccTLD
pm, ccTLD
pn, ccTLD
pr, ccTLD
ps, ccTLD
pt, ccTLD
pw, ccTLD
py, ccTLD
qa, ccTLD
re, ccTLD
ro, ccTLD
rs, ccTLD
ru, ccTLD
rw, ccTLD
sa, ccTLD
sb, ccTLD
sc, ccTLD
sd, ccTLD
se, ccTLD
sg, ccTLD
sh, ccTLD
si, ccTLD
sj, ccTLD
sk, ccTLD
sl, ccTLD
sm, ccTLD
sn, ccTLD
so, ccTLD
sr, ccTLD
st, ccTLD
su, ccTLD
sv, ccTLD
sx, ccTLD
sy, ccTLD
sz, ccTLD
tc, ccTLD
td, ccTLD
tf, ccTLD
tg, ccTLD
th, ccTLD
tj, ccTLD
tk, ccTLD
tl, ccTLD
tm, ccTLD
tn, ccTLD
to, ccTLD
tr, ccTLD
tt, ccTLD
tv, ccTLD
tw, ccTLD
tz, ccTLD
ua, ccTLD
ug, ccTLD
uk, ccTLD
us, ccTLD
uy, ccTLD
uz, ccTLD
va, ccTLD
vc, ccTLD
ve, ccTLD
vg, ccTLD
vi, ccTLD
vn, ccTLD
vu, ccTLD
wf, ccTLD
ws, ccTLD
ye, ccTLD
yt, ccTLD
za, ccTLD
zm, ccTLD
zw, ccTLD
