# Format is: alabel, type

xn--3e0b707e, ccTLD
xn--45brj9c, ccTLD
xn--80ao21a, ccTLD
xn--90a3ac, ccTLD
xn--90ais, ccTLD
xn--clchc0ea0b2g2a9gcd, ccTLD
xn--d1alf, ccTLD
xn--fiqs8s, ccTLD
xn--fiqz9s, ccTLD
xn--fpcrj9c3d, ccTLD
xn--fzc2c9e2c, ccTLD
xn--gecrj9c, ccTLD
xn--h2brj9c, ccTLD
xn--j1amh, ccTLD
xn--j6w193g, ccTLD
xn--kprw13d, ccTLD
xn--kpry57d, ccTLD
xn--l1acc, ccTLD
xn--lgbbat1ad8j, ccTLD
xn--mgb9awbf, ccTLD
xn--mgba3a4f16a, ccTLD
xn--mgbaam7a8h, ccTLD
xn--mgbayh7gpa, ccTLD
xn--mgbbh1a71e, ccTLD
xn--mgbc0a9azcg, ccTLD
xn--mgberp4a5d4ar, ccTLD
xn--mgbx4cd0ab, ccTLD
xn--node, ccTLD
xn--o3cw4h, ccTLD
xn--ogbpf8fl, ccTLD
xn--p1ai, ccTLD
xn--pgbs0dh, ccTLD
xn--s9brj9c, ccTLD
xn--wgbh1c, ccTLD
xn--wgbl6a, ccTLD
xn--xkc2al3hye2a, ccTLD
xn--xkc2dl3a5ee0h, ccTLD
xn--yfro4i67o, ccTLD
xn--ygbi2ammx, ccTLD
