# Format is: alabel, type

MOBILY, New-gTLD
xn--mgbb9fbpob, New-gTLD
STAR, New-gTLD
PID, New-gTLD
CONTACT, New-gTLD
WEBER, New-gTLD
ANALYTICS, New-gTLD
JMP, New-gTLD
xn--jlq61u9w7b, New-gTLD
SAS, New-gTLD
FORD, New-gTLD
STORAGE, New-gTLD
LINCOLN, New-gTLD
KFH, New-gTLD
WANGGOU, New-gTLD
SHELL, New-gTLD
xn--pbt977c, New-gTLD
xn--kpu716f, New-gTLD
KPN, New-gTLD
xn--ngbe9e0a, New-gTLD
TRAVELERSINSURANCE, New-gTLD
WATCHES, New-gTLD
xn--eckvdtc9d, New-gTLD
TUSHU, New-gTLD
TRV, New-gTLD
REDUMBRELLA, New-gTLD
xn--mgbt3dhd, New-gTLD
PARS, New-gTLD
ZERO, New-gTLD
SMILE, New-gTLD
BOT, New-gTLD
JOY, New-gTLD
BUY, New-gTLD
GOT, New-gTLD
FAST, New-gTLD
JOT, New-gTLD
PIN, New-gTLD
READ, New-gTLD
CIRCLE, New-gTLD
BOOK, New-gTLD
SAFE, New-gTLD
CALL, New-gTLD
ROOM, New-gTLD
LIKE, New-gTLD
AUTHOR, New-gTLD
TRAVELERS, New-gTLD
NOWRUZ, New-gTLD
FIRESTONE, New-gTLD
TCI, New-gTLD
SHARP, New-gTLD
SALON, New-gTLD
SHIA, New-gTLD
INSURANCE, New-gTLD
NORTON, New-gTLD
MED, New-gTLD
SYMANTEC, New-gTLD
SFR, New-gTLD
BOEHRINGER, New-gTLD
BOSTIK, New-gTLD
LAMBORGHINI, New-gTLD
BUGATTI, New-gTLD
AUDI, New-gTLD
VIP, New-gTLD
VERISIGN, New-gTLD
BROADWAY, New-gTLD
COMSEC, New-gTLD
GRAINGER, New-gTLD
TAB, New-gTLD
FAIRWINDS, New-gTLD
CITYEATS, New-gTLD
LIFESTYLE, New-gTLD
CREDITUNION, New-gTLD
VANA, New-gTLD
PLAYSTATION, New-gTLD
FERRERO, New-gTLD
ROCHER, New-gTLD
APPLE, New-gTLD
AARP, New-gTLD
BEATS, New-gTLD
PING, New-gTLD
MEO, New-gTLD
SAPO, New-gTLD
SBS, New-gTLD
GUCCI, New-gTLD
LANDROVER, New-gTLD
JAGUAR, New-gTLD
RWE, New-gTLD
ZARA, New-gTLD
MUTUELLE, New-gTLD
ARTE, New-gTLD
ARAMCO, New-gTLD
xn--mgba3a3ejt, New-gTLD
DELL, New-gTLD
CIPRIANI, New-gTLD
KINDER, New-gTLD
YAMAXUN, New-gTLD
MOI, New-gTLD
VIRGIN, New-gTLD
MTR, New-gTLD
CLUBMED, New-gTLD
BOM, New-gTLD
STOCKHOLM, New-gTLD
KIA, New-gTLD
FINAL, New-gTLD
SEVEN, New-gTLD
HYUNDAI, New-gTLD
OBI, New-gTLD
LTD, New-gTLD
BMS, New-gTLD
SECURITY, New-gTLD
LINDE, New-gTLD
STADA, New-gTLD
THEATRE, New-gTLD
PROTECTION, New-gTLD
CAR, New-gTLD
CSC, New-gTLD
AMICA, New-gTLD
STC, New-gTLD
VIVA, New-gTLD
STCGROUP, New-gTLD
AAA, New-gTLD
GEA, New-gTLD
ACO, New-gTLD
xn--efvy88h, New-gTLD
MOM, New-gTLD
FAMILY, New-gTLD
SEEK, New-gTLD
FAGE, New-gTLD
CEB, New-gTLD
GROUP, New-gTLD
GIVING, New-gTLD
XPERIA, New-gTLD
BOOTS, New-gTLD
CHANEL, New-gTLD
WINE, New-gTLD
VIN, New-gTLD
LIXIL, New-gTLD
xn--tckwe, New-gTLD
xn--fhbei, New-gTLD
xn--c2br7g, New-gTLD
xn--9dbq2a, New-gTLD
xn--11b4c3d, New-gTLD
xn--3pxu8k, New-gTLD
xn--t60b56a, New-gTLD
xn--j1aef, New-gTLD
xn--pssy2u, New-gTLD
xn--42c2d9a, New-gTLD
xn--mk1bu44c, New-gTLD
IPIRANGA, New-gTLD
LEXUS, New-gTLD
PET, New-gTLD
MAN, New-gTLD
TOYOTA, New-gTLD
SANOFI, New-gTLD
TATAMOTORS, New-gTLD
SRL, New-gTLD
BET, New-gTLD
ICE, New-gTLD
ITAU, New-gTLD
NOKIA, New-gTLD
LANCASTER, New-gTLD
UBS, New-gTLD
ISTANBUL, New-gTLD
DELTA, New-gTLD
IST, New-gTLD
HSBC, New-gTLD
IINET, New-gTLD
ORANGE, New-gTLD
BENTLEY, New-gTLD
GAME, New-gTLD
JPRS, New-gTLD
BCN, New-gTLD
STUDIO, New-gTLD
BARCELONA, New-gTLD
AIRTEL, New-gTLD
LIVE, New-gTLD
APP, New-gTLD
SAKURA, New-gTLD
REALTY, New-gTLD
FORUM, New-gTLD
HOTELES, New-gTLD
TELEFONICA, New-gTLD
BNL, New-gTLD
CLOUD, New-gTLD
BRADESCO, New-gTLD
MOVISTAR, New-gTLD
OMEGA, New-gTLD
SWATCH, New-gTLD
LAW, New-gTLD
SKYPE, New-gTLD
SCOR, New-gTLD
OFFICE, New-gTLD
STARHUB, New-gTLD
VISTA, New-gTLD
COMMBANK, New-gTLD
VISTAPRINT, New-gTLD
RICOH, New-gTLD
NETBANK, New-gTLD
CBA, New-gTLD
GENTING, New-gTLD
DRIVE, New-gTLD
PLAY, New-gTLD
AEG, New-gTLD
CROWN, New-gTLD
STATOIL, New-gTLD
BHARTI, New-gTLD
