# Format is: alabel, type

LASALLE, New-gTLD
JLC, New-gTLD
MICROSOFT, New-gTLD
HOTMAIL, New-gTLD
WINDOWS, New-gTLD
BING, New-gTLD
AZURE, New-gTLD
MONTBLANC, New-gTLD
HOMEDEPOT, New-gTLD
XBOX, New-gTLD
BIBLE, New-gTLD
SKI, New-gTLD
xn--imr513n, New-gTLD
WALTER, New-gTLD
SANDVIK, New-gTLD
SANDVIKCOROMANT, New-gTLD
BBVA, New-gTLD
MBA, New-gTLD
JLL, New-gTLD
FYI, New-gTLD
THD, New-gTLD
MEN, New-gTLD
LUPIN, New-gTLD
CORSICA, New-gTLD
CISCO, New-gTLD
EARTH, New-gTLD
SOCCER, New-gTLD
COUPONS, New-gTLD
ICBC, New-gTLD
BROTHER, New-gTLD
ACCENTURE, New-gTLD
PHILIPS, New-gTLD
xn--fjq720a, New-gTLD
NEC, New-gTLD
TAXI, New-gTLD
xn--estv75g, New-gTLD
HOCKEY, New-gTLD
RUN, New-gTLD
xn--y9a3aq, New-gTLD
xn--mgbpl2fh, New-gTLD
THEATER, New-gTLD
AIG, New-gTLD
ICU, New-gTLD
LOL, New-gTLD
LIAISON, New-gTLD
CFA, New-gTLD
NADEX, New-gTLD
CARS, New-gTLD
AUTO, New-gTLD
TORAY, New-gTLD
HITACHI, New-gTLD
BRIDGESTONE, New-gTLD
SENER, New-gTLD
RENT, New-gTLD
HONDA, New-gTLD
SWISS, New-gTLD
DOG, New-gTLD
BROKER, New-gTLD
ABB, New-gTLD
SEX, New-gTLD
SEAT, New-gTLD
WEIR, New-gTLD
JEWELRY, New-gTLD
XEROX, New-gTLD
SHOW, New-gTLD
TEAM, New-gTLD
SONY, New-gTLD
xn--kcrx77d1x4a, New-gTLD
EXPRESS, New-gTLD
BAUHAUS, New-gTLD
CAFE, New-gTLD
CYOU, New-gTLD
RACING, New-gTLD
xn--nyqy26a, New-gTLD
SCHOLARSHIPS, New-gTLD
LOVE, New-gTLD
xn--30rr7y, New-gTLD
MMA, New-gTLD
AFL, New-gTLD
REDSTONE, New-gTLD
xn--9et52u, New-gTLD
BOND, New-gTLD
SAP, New-gTLD
KOMATSU, New-gTLD
DOHA, New-gTLD
MTN, New-gTLD
REVIEW, New-gTLD
WIN, New-gTLD
PANERAI, New-gTLD
DOWNLOAD, New-gTLD
MOVIE, New-gTLD
FAITH, New-gTLD
TICKETS, New-gTLD
