# Format is: alabel, ulabel, english, type

LASALLE, null, null, New-gTLD
JLC, null, null, New-gTLD
MICROSOFT, null, null, New-gTLD
HOTMAIL, null, null, New-gTLD
WINDOWS, null, null, New-gTLD
BING, null, null, New-gTLD
AZURE, null, null, New-gTLD
MONTBLANC, null, null, New-gTLD
HOMEDEPOT, null, null, New-gTLD
XBOX, null, null, New-gTLD
BIBLE, null, null, New-gTLD
SKI, null, null, New-gTLD
xn--imr513n, 餐厅, restaurant, New-gTLD
WALTER, null, null, New-gTLD
SANDVIK, null, null, New-gTLD
SANDVIKCOROMANT, null, null, New-gTLD
BBVA, null, null, New-gTLD
MBA, null, null, New-gTLD
JLL, null, null, New-gTLD
FYI, null, null, New-gTLD
THD, null, null, New-gTLD
MEN, null, null, New-gTLD
LUPIN, null, null, New-gTLD
CORSICA, null, null, New-gTLD
CISCO, null, null, New-gTLD
EARTH, null, null, New-gTLD
SOCCER, null, null, New-gTLD
COUPONS, null, null, New-gTLD
ICBC, null, null, New-gTLD
BROTHER, null, null, New-gTLD
ACCENTURE, null, null, New-gTLD
PHILIPS, null, null, New-gTLD
xn--fjq720a, 娱乐, entertainment, New-gTLD
NEC, null, null, New-gTLD
TAXI, null, null, New-gTLD
xn--estv75g, 工行, ICBC, New-gTLD
HOCKEY, null, null, New-gTLD
RUN, null, null, New-gTLD
xn--y9a3aq, հայ, Armenian, New-gTLD
xn--mgbpl2fh, سودان, Sudan, New-gTLD
THEATER, null, null, New-gTLD
AIG, null, null, New-gTLD
ICU, null, null, New-gTLD
LOL, null, null, New-gTLD
LIAISON, null, null, New-gTLD
CFA, null, null, New-gTLD
NADEX, null, null, New-gTLD
CARS, null, null, New-gTLD
AUTO, null, null, New-gTLD
TORAY, null, null, New-gTLD
HITACHI, null, null, New-gTLD
BRIDGESTONE, null, null, New-gTLD
SENER, null, null, New-gTLD
RENT, null, null, New-gTLD
HONDA, null, null, New-gTLD
SWISS, null, null, New-gTLD
DOG, null, null, New-gTLD
BROKER, null, null, New-gTLD
ABB, null, null, New-gTLD
SEX, null, null, New-gTLD
SEAT, null, null, New-gTLD
WEIR, null, null, New-gTLD
JEWELRY, null, null, New-gTLD
XEROX, null, null, New-gTLD
SHOW, null, null, New-gTLD
TEAM, null, null, New-gTLD
SONY, null, null, New-gTLD
xn--kcrx77d1x4a, 飞利浦, Philips, New-gTLD
EXPRESS, null, null, New-gTLD
